label,text
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,"Ok lar... Joking wif u oni..."
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's"
ham,"U dun say so early hor... U c already then say..."
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
ham,"Even my brother is not like to speak with me. They treat me like aids patent."
ham,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune"
spam,"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only."
spam,"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030"
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times."
ham,"I HAVE A DATE ON SUNDAY WITH WILL!!"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,"Oh k...i'm watching here:)"
ham,"Eh u remember how 2 spell his name... Yes i did. V and all."
ham,"Fine if that's the way u feel. That's the way its gota b"
ham,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
spam,"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!"
ham,"Hmm...my uncle just informed me about his colleague's daughter who does modelling part-time...she is d same age as me...what do you think?"
spam,"You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 08714712379 between 10am-7pm cost 10p"
ham,"I‘m going to try for 2 months ha ha only joking"
spam,"Urgent! Please call 09061743811 from a landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await collection. No claim fee. T&Cs apply."
ham,"Great! I hope everything goes well"
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
ham,"I‘m not sure if I can make it tonight"
spam,"Call now for a free trial offer! 08712402920"
ham,"Let me know when you‘re ready"
spam,"Last chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16"
ham,"Can you give me a call when you‘re free?"
spam,"You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send NOKIA to 86021."
ham,"Thanks for your help yesterday"
spam,"Please call 08712466669 immediately as there is an urgent message waiting for you"
ham,"What time should we meet?"
spam,"Your free ringtone is waiting to be collected. Simply text the password MIX to 85069 to verify. Get Usher and Britney. FML"
ham,"I‘ll be there in 10 minutes"
spam,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To claim, call London 02072069400. Bx 526, SW73SS"
ham,"Can we reschedule for tomorrow?"
spam,"Todays Vodafone numbers ending with 7548 are selected to receive a £350 award. If your number matches call 09064019014 to receive your £350 reward."
ham,"I‘m running late, sorry"
spam,"You have won 1 of 5 super prizes! Call now to claim your prize on 09050000327"
ham,"Let‘s grab lunch tomorrow"
spam,"Your credit card has been charged £100 for the Microsoft Award. For questions call 08712400298."
ham,"The meeting went well"
spam,"You have won a £2000 prize! To claim call 09058091854. Valid 12hrs only."
ham,"Can you send me the details?"
spam,"Your mobile number has won a £2000 bonus call 09066368327 to claim."
ham,"I‘ll check and get back to you"
spam,"URGENT! Your mobile number has been awarded a £2000 prize GUARANTEED. Call 09058094565 from landline. Claim code K52. Valid 12hrs only."
ham,"Thanks for the update"
spam,"You have been specially selected to receive a £1000 award! Call 09064012160 to claim your reward."
ham,"I‘ll be on vacation next week"
spam,"URGENT! You have won a 1 week FREE holiday. Clik on the following link to claim this award: www.urgentholiday4u.com"
ham,"Let me think about it"
spam,"You have won a Nokia 3650 video camera phone. Call 09064011020 to claim your prize."
ham,"I‘ll call you later"
spam,"You have been selected for a £1000 cash prize! Call 09066368351 to claim."
ham,"Can we meet next week?"
spam,"URGENT! Your account has been credited with £1000. Call 09058091811 to claim."
ham,"I‘ll send you the files tomorrow"
spam,"You have won a £1000 cash bonus! Call 09066368327 to claim your reward."
ham,"The project is due next Monday"
spam,"URGENT! You have won a 1 week FREE cruise. Call 09050000327 to claim."
ham,"I‘ll need more time to finish"
spam,"You have won a £500 shopping voucher! Call 09064012160 to claim."
ham,"Let‘s discuss this in person"
spam,"URGENT! Your mobile number has won £2000. Call 09058094565 to claim."
ham,"I‘ve sent you an email"
spam,"You have been selected for a £2000 award! Call 09066368351 to claim."
ham,"Can we talk about this later?"
spam,"URGENT! You have won a £1000 prize! Call 09064011020 to claim."
ham,"I‘ll get back to you soon"
spam,"You have won a £500 cash bonus! Call 09058091811 to claim."
ham,"Let me know your thoughts"
spam,"URGENT! Your account has been credited with £2000. Call 09050000327 to claim."
ham,"I‘ll check my schedule"
spam,"You have won a £1000 shopping voucher! Call 09064012160 to claim."
ham,"Can we set up a meeting?"
spam,"URGENT! You have won a £2000 prize! Call 09058094565 to claim."
ham,"I‘ll review the documents"
spam,"You have been selected for a £500 award! Call 09066368327 to claim."
ham,"Let‘s touch base tomorrow"
spam,"URGENT! Your mobile number has won £1000. Call 09064011020 to claim."
ham,"I‘ll follow up with them"
spam,"You have won a £2000 cash bonus! Call 09058091811 to claim."
ham,"Can we reschedule?"
spam,"URGENT! You have won a £500 prize! Call 09050000327 to claim."
ham,"I‘ll let you know my decision"
spam,"You have been credited with £1000! Call 09064012160 to claim."
ham,"Let‘s plan for next month"
spam,"URGENT! You have won a £2000 award! Call 09058094565 to claim."
ham,"I‘ll send the details shortly"
spam,"You have won a £500 shopping voucher! Call 09066368351 to claim."
ham,"Can we talk tomorrow?"
spam,"URGENT! Your account has been credited with £1000. Call 09064011020 to claim."
ham,"I‘ll get the information you need"
spam,"You have won a £2000 cash prize! Call 09058091811 to claim."
ham,"Let me check and revert"
spam,"URGENT! You have won a £500 bonus! Call 09050000327 to claim."
ham,"I‘ll prepare the report"
spam,"You have been selected for a £1000 award! Call 09064012160 to claim."
ham,"Can we discuss this later?"
spam,"URGENT! Your mobile number has won £2000. Call 09058094565 to claim."
ham,"I‘ll update you soon"
spam,"You have won a £500 cash bonus! Call 09066368327 to claim."
ham,"Let‘s meet next week"
spam,"URGENT! You have won a £1000 prize! Call 09064011020 to claim."
ham,"I‘ll confirm the details"
spam,"You have been credited with £2000! Call 09058091811 to claim."
ham,"Can we talk about this tomorrow?"
spam,"URGENT! You have won a £500 award! Call 09050000327 to claim."
ham,"I‘ll review and get back to you"
spam,"You have won a £1000 shopping voucher! Call 09064012160 to claim."
ham,"Let me think it over"
spam,"URGENT! Your account has been credited with £2000. Call 09058094565 to claim."
ham,"I‘ll send you an update"
spam,"You have won a £500 cash prize! Call 09066368351 to claim."
ham,"Can we arrange a call?"
spam,"URGENT! You have won a £1000 bonus! Call 09064011020 to claim."
ham,"I‘ll check with the team"
spam,"You have been selected for a £2000 award! Call 09058091811 to claim."
ham,"Let‘s finalize next steps"
spam,"URGENT! Your mobile number has won £500. Call 09050000327 to claim."
ham,"I‘ll provide more details soon"
spam,"You have won a £1000 shopping voucher! Call 09064012160 to claim."
ham,"Can we touch base later?"
spam,"URGENT! You have won a £2000 prize! Call 09058094565 to claim."
ham,"I‘ll follow up with you"
spam,"You have been credited with £500! Call 09066368327 to claim."
ham,"Let me know a good time"
spam,"URGENT! Your account has been credited with £1000. Call 09064011020 to claim."
ham,"I‘ll send the files over"
spam,"You have won a £2000 cash bonus! Call 09058091811 to claim."
ham,"Can we meet next week?"
spam,"URGENT! You have won a £500 prize! Call 09050000327 to claim."
ham,"I‘ll review the proposal"
spam,"You have been selected for a £1000 award! Call 09064012160 to claim."
ham,"Let‘s discuss this tomorrow"
spam,"URGENT! Your mobile number has won £2000. Call 09058094565 to claim."
ham,"I‘ll get back to you"
spam,"You have won a £500 shopping voucher! Call 09066368351 to claim."
ham,"Can we reschedule?"
spam,"URGENT! You have won a £1000 bonus! Call 09064011020 to claim."
ham,"I‘ll check my calendar"
spam,"You have been credited with £2000! Call 09058091811 to claim."
ham,"Let me know your availability"
spam,"URGENT! You have won a £500 award! Call 09050000327 to claim."
ham,"I‘ll prepare the materials"
spam,"You have won a £1000 cash prize! Call 09064012160 to claim."
ham,"Can we talk later?"
spam,"URGENT! Your account has been credited with £2000. Call 09058094565 to claim."
ham,"I‘ll update the document"
spam,"You have been selected for a £500 bonus! Call 09066368327 to claim."
ham,"Let‘s plan for next week"
spam,"URGENT! You have won a £1000 prize! Call 09064011020 to claim."
ham,"I‘ll confirm the time"
